Date,Text
02-01-2023,[]
02-02-2023,[]
02-03-2023,[]
02-04-2023,[]
02-05-2023,"['Усі міжнародні компанії можна поділити на декілька груп залежно від їхніх дій щодо Росії. Хто з них повністю вийшов, хто залишився в країні-агресорі, а хто обрав середній варіант.', 'З моменту повномасштабного вторгнення російської армії в Україну майже 1000 компаній оголосили про свої зміни в планах щодо Росії.', 'Деякі з них заявили про повний вихід і згорнули діяльність, інші – лише призупинили свій бізнес, або лише відмовились від запланованих інвестицій, частина – продовжує роботу в звичайному режимі.', 'З перших днів великої війни професор та засновник Інституту керівників вищої ланки Єльського університету Джеффрі Зонненфельд з командою експертів і студентів слідкує за компаніями, які працювали/працюють в Росії.', 'Вперше список був опублікований 28 лютого і там було лише кілька десятків компаній, які заявили про свій вихід з російського ринку.', ""Дослідники поділили компанії на п'ять груп, виходячи з їхніх заяв та дій, і публікують їх тут, щоденно оновлюючи список."", 'Оновлено 9 листопада 2023', '', '', '', '218 компанії', 'Компанії ігнорують вимоги про вихід або будь-яке скорочення діяльності', '', '', '177 компаній', 'Утримуються від нових інвестицій та розвитку, відкладають заплановані інвестиції, нові розробки, маркетингові заходи, продовжуючи основний бізнес в країні', '', '', '157 компанія', 'Компанії скоротили лише деякі операційні процеси, але продовжують інші', '', '', '502 компаній', 'Компанії тимчасово згорнули бізнес, залишивши відкритими можливості для повернення', '', '', '535 компаній', 'Компанії повністю припинили роботу з Росією/пішли з Росії', '', '']"
02-06-2023,[]
02-07-2023,[]
02-08-2023,[]
02-09-2023,[]
02-10-2023,[]
02-11-2023,[]
