Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SLS01G02998,2014.06,5107,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SLS01G02998,2015.06,5389,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SLS01G02998,2016.06,5749,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SLS01G02998,2017.06,6051,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SLS01G02998,2018.06,6360,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SLS01G02998,2019.06,6895,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SLS01G02998,2020.06,7167,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SLS01G02998,2021.06,7448,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SLS01G02Z99,2009.06,7620,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Total,,,,
GFSA.SLS01G02Z99,2010.06,8122,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Total,,,,
GFSA.SLS01G02Z99,2011.06,8301,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Total,,,,
GFSA.SLS01G02Z99,2012.06,8826,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Total,,,,
GFSA.SLS01G02Z99,2013.06,9094,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Total,,,,
GFSA.SLS01G02Z99,2014.06,9157,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Total,,,,
GFSA.SLS01G02Z99,2015.06,9772,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Total,,,,
GFSA.SLS01G02Z99,2016.06,10310,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Total,,,,
GFSA.SLS01G02Z99,2017.06,10823,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Total,,,,
GFSA.SLS01G02Z99,2018.06,11682,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Total,,,,
GFSA.SLS01G02Z99,2019.06,12548,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Total,,,,
GFSA.SLS01G02Z99,2020.06,12992,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Total,,,,
GFSA.SLS01G02Z99,2021.06,13456,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Total,,,,
GFSA.SLS01G03220,2021.06,5033,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SLS01G03Z99,2009.06,6904,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Total,,,,
GFSA.SLS01G03Z99,2010.06,7215,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Total,,,,
GFSA.SLS01G03Z99,2011.06,7951,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Total,,,,
GFSA.SLS01G03Z99,2012.06,8314,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Total,,,,
GFSA.SLS01G03Z99,2013.06,8061,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Total,,,,
GFSA.SLS01G03Z99,2014.06,8213,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Total,,,,
GFSA.SLS01G03Z99,2015.06,8739,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Total,,,,
GFSA.SLS01G03Z99,2016.06,9156,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Total,,,,
GFSA.SLS01G03Z99,2017.06,9717,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Total,,,,
GFSA.SLS01G03Z99,2018.06,10129,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Total,,,,
GFSA.SLS01G03Z99,2019.06,10790,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Total,,,,
GFSA.SLS01G03Z99,2020.06,11611,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Total,,,,
GFSA.SLS01G03Z99,2021.06,12032,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Expenses",Total,,,,
GFSA.SLS02G00Z61Z99,2009.06,89732,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Non-financial assets,Total,,,
GFSA.SLS02G00Z61Z99,2010.06,93048,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Non-financial assets,Total,,,
GFSA.SLS02G00Z61Z99,2011.06,95503,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Non-financial assets,Total,,,
GFSA.SLS02G00Z61Z99,2012.06,97293,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Non-financial assets,Total,,,
GFSA.SLS02G00Z61Z99,2013.06,99404,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Non-financial assets,Total,,,
GFSA.SLS02G00Z61Z99,2014.06,105179,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Non-financial assets,Total,,,
GFSA.SLS02G00Z61Z99,2015.06,109548,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Non-financial assets,Total,,,
GFSA.SLS02G00Z61Z99,2016.06,113598,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Non-financial assets,Total,,,
GFSA.SLS02G00Z61Z99,2017.06,120009,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Non-financial assets,Total,,,
GFSA.SLS02G00Z61Z99,2018.06,125357,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Non-financial assets,Total,,,
GFSA.SLS02G00Z61Z99,2019.06,132301,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Non-financial assets,Total,,,
GFSA.SLS02G00Z61Z99,2020.06,140276,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Non-financial assets,Total,,,
GFSA.SLS02G00Z61Z99,2021.06,144574,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Non-financial assets,Total,,,
GFSA.SLS02G00Z63Z99,2009.06,99415,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Assets,Total,,,
GFSA.SLS02G00Z63Z99,2010.06,103602,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Assets,Total,,,
GFSA.SLS02G00Z63Z99,2011.06,109189,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Assets,Total,,,
GFSA.SLS02G00Z63Z99,2012.06,111703,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Assets,Total,,,
GFSA.SLS02G00Z63Z99,2013.06,114264,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Assets,Total,,,
GFSA.SLS02G00Z63Z99,2014.06,120311,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Assets,Total,,,
GFSA.SLS02G00Z63Z99,2015.06,125717,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Assets,Total,,,
GFSA.SLS02G00Z63Z99,2016.06,130937,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Assets,Total,,,
GFSA.SLS02G00Z63Z99,2017.06,138094,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Assets,Total,,,
GFSA.SLS02G00Z63Z99,2018.06,144250,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Assets,Total,,,
GFSA.SLS02G00Z63Z99,2019.06,152673,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Assets,Total,,,
GFSA.SLS02G00Z63Z99,2020.06,162336,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Assets,Total,,,
GFSA.SLS02G00Z63Z99,2021.06,167716,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Total Assets and Non-financial Assets",Assets,Total,,,
GFSA.SLS02G01Z92,2009.06,91886,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net worth,,,,
GFSA.SLS02G01Z92,2010.06,93982,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net worth,,,,
GFSA.SLS02G01Z92,2011.06,98633,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net worth,,,,
GFSA.SLS02G01Z92,2012.06,99634,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net worth,,,,
GFSA.SLS02G01Z92,2013.06,101317,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net worth,,,,
GFSA.SLS02G01Z92,2014.06,106622,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net worth,,,,
GFSA.SLS02G01Z92,2015.06,109988,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net worth,,,,
GFSA.SLS02G01Z92,2016.06,113402,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net worth,,,,
GFSA.SLS02G01Z92,2017.06,119475,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net worth,,,,
GFSA.SLS02G01Z92,2018.06,124354,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net worth,,,,
GFSA.SLS02G01Z92,2019.06,130326,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net worth,,,,
